month,bidding_no,vehicle_class,quota,bids_success,bids_received,premium,cpi_all_items,sora
2022-11-01,2,Category E,150,149,242,114009,110.775,3.9119
2022-12-01,1,Category A,458,454,616,88503,111.002,2.5293
2022-12-01,1,Category B,427,426,568,105501,111.002,2.5293
2022-12-01,1,Category C,69,68,118,81501,111.002,2.5293
2022-12-01,1,Category D,441,437,544,12100,111.002,2.5293
2022-12-01,1,Category E,149,148,266,110524,111.002,2.5293
2022-12-01,2,Category A,473,472,618,88007,111.002,2.5293
2022-12-01,2,Category B,409,409,564,108006,111.002,2.5293
2022-12-01,2,Category C,69,60,147,78200,111.002,2.5293
2022-12-01,2,Category D,465,461,647,11690,111.002,2.5293
2022-12-01,2,Category E,146,143,273,109600,111.002,2.5293
2023-01-01,1,Category A,462,459,649,80000,111.561,3.8693
2023-01-01,1,Category B,410,410,487,102002,111.561,3.8693
2023-01-01,1,Category C,70,70,183,77301,111.561,3.8693
2023-01-01,1,Category D,445,432,678,10890,111.561,3.8693
2023-01-01,1,Category E,146,146,285,107889,111.561,3.8693
2023-01-01,2,Category A,459,456,627,86000,111.561,3.8693
2023-01-01,2,Category B,408,402,514,105459,111.561,3.8693
2023-01-01,2,Category C,78,74,182,77109,111.561,3.8693
2023-01-01,2,Category D,445,431,572,11101,111.561,3.8693
2023-01-01,2,Category E,149,147,248,107000,111.561,3.8693
2023-02-01,1,Category A,509,497,663,86000,111.937,3.4497
2023-02-01,1,Category B,430,430,580,105524,111.937,3.4497
2023-02-01,1,Category C,44,44,108,85119,111.937,3.4497
2023-02-01,1,Category D,477,475,594,11602,111.937,3.4497
2023-02-01,1,Category E,129,126,229,105002,111.937,3.4497
2023-02-01,2,Category A,508,504,702,86556,111.937,3.4497
2023-02-01,2,Category B,436,401,768,115001,111.937,3.4497
2023-02-01,2,Category C,47,40,136,87790,111.937,3.4497
2023-02-01,2,Category D,479,453,611,12189,111.937,3.4497
2023-02-01,2,Category E,132,129,274,118001,111.937,3.4497
2023-03-01,1,Category A,517,507,665,88000,112.396,3.5843
2023-03-01,1,Category B,431,431,629,115501,112.396,3.5843
2023-03-01,1,Category C,43,39,65,91101,112.396,3.5843
2023-03-01,1,Category D,467,465,566,12390,112.396,3.5843
2023-03-01,1,Category E,132,128,254,116000,112.396,3.5843
2023-03-01,2,Category A,510,508,768,93503,112.396,3.5843
2023-03-01,2,Category B,466,466,670,116201,112.396,3.5843
2023-03-01,2,Category C,50,42,107,85389,112.396,3.5843
2023-03-01,2,Category D,490,490,616,12001,112.396,3.5843
2023-03-01,2,Category E,132,125,265,116020,112.396,3.5843
2023-04-01,1,Category A,515,508,749,96501,113.294,3.785
2023-04-01,1,Category B,430,414,566,118501,113.294,3.785
2023-04-01,1,Category C,47,47,103,76801,113.294,3.785
2023-04-01,1,Category D,466,454,529,12001,113.294,3.785
2023-04-01,1,Category E,134,133,252,118990,113.294,3.785
2023-04-01,2,Category A,507,489,750,103721,113.294,3.785
2023-04-01,2,Category B,430,403,553,120889,113.294,3.785
2023-04-01,2,Category C,51,47,116,75334,113.294,3.785
2023-04-01,2,Category D,465,436,510,12179,113.294,3.785
2023-04-01,2,Category E,137,136,252,124501,113.294,3.785
2023-05-01,1,Category A,474,472,663,101001,112.847,3.7241
2023-05-01,1,Category B,410,410,513,119399,112.847,3.7241
2023-05-01,1,Category C,68,68,109,75589,112.847,3.7241
2023-05-01,1,Category D,554,542,670,5002,112.847,3.7241
2023-05-01,1,Category E,125,125,271,124002,112.847,3.7241
2023-05-01,2,Category A,596,588,936,92000,112.847,3.7241
2023-05-01,2,Category B,480,480,713,113034,112.847,3.7241
2023-05-01,2,Category C,72,70,148,77501,112.847,3.7241
2023-05-01,2,Category D,571,562,"1,438",10602,112.847,3.7241
2023-05-01,2,Category E,125,104,301,125000,112.847,3.7241
2023-06-01,1,Category A,581,571,881,98001,113.388,4.0005
2023-06-01,1,Category B,454,437,719,120702,113.388,4.0005
2023-06-01,1,Category C,68,60,151,81801,113.388,4.0005
2023-06-01,1,Category D,555,519,972,11001,113.388,4.0005
2023-06-01,1,Category E,124,118,280,120889,113.388,4.0005
2023-06-01,2,Category A,586,583,751,96206,113.388,4.0005
2023-06-01,2,Category B,454,446,622,121000,113.388,4.0005
2023-06-01,2,Category C,71,71,178,83140,113.388,4.0005
2023-06-01,2,Category D,551,543,796,10709,113.388,4.0005
2023-06-01,2,Category E,145,140,312,123000,113.388,4.0005
2023-07-01,1,Category A,588,587,756,97000,113.644,3.5504
2023-07-01,1,Category B,471,470,594,118002,113.644,3.5504
2023-07-01,1,Category C,77,69,147,82223,113.644,3.5504
2023-07-01,1,Category D,579,550,846,10090,113.644,3.5504
2023-07-01,1,Category E,130,119,217,121000,113.644,3.5504
2023-07-01,2,Category A,581,576,728,95202,113.644,3.5504
2023-07-01,2,Category B,462,453,602,118001,113.644,3.5504
2023-07-01,2,Category C,69,69,133,82001,113.644,3.5504
2023-07-01,2,Category D,551,550,840,10501,113.644,3.5504
2023-07-01,2,Category E,129,128,243,122110,113.644,3.5504
2023-08-01,1,Category A,632,618,949,99499,114.114,3.7781
2023-08-01,1,Category B,470,469,853,126889,114.114,3.7781
2023-08-01,1,Category C,122,121,222,82100,114.114,3.7781
2023-08-01,1,Category D,522,443,759,11501,114.114,3.7781
2023-08-01,1,Category E,140,140,237,126201,114.114,3.7781
2023-08-01,2,Category A,636,616,908,100000,114.114,3.7781
2023-08-01,2,Category B,478,451,731,129890,114.114,3.7781
2023-08-01,2,Category C,114,114,180,82801,114.114,3.7781
2023-08-01,2,Category D,495,486,654,11402,114.114,3.7781
2023-08-01,2,Category E,131,107,237,131000,114.114,3.7781
2023-09-01,1,Category A,645,640,840,101000,114.69,3.8245
2023-09-01,1,Category B,470,466,723,134889,114.69,3.8245
2023-09-01,1,Category C,115,115,182,82889,114.69,3.8245
2023-09-01,1,Category D,573,569,758,10901,114.69,3.8245
2023-09-01,1,Category E,130,120,219,137000,114.69,3.8245
2023-09-01,2,Category A,651,635,864,105000,114.69,3.8245
2023-09-01,2,Category B,496,494,735,140889,114.69,3.8245
2023-09-01,2,Category C,114,114,153,83801,114.69,3.8245
2023-09-01,2,Category D,502,494,639,10700,114.69,3.8245
2023-09-01,2,Category E,153,144,282,144640,114.69,3.8245
2023-10-01,1,Category A,785,779,"1,039",104000,115.452,3.6904
2023-10-01,1,Category B,474,472,643,146002,115.452,3.6904
2023-10-01,1,Category C,114,112,191,85900,115.452,3.6904
2023-10-01,1,Category D,497,494,661,10856,115.452,3.6904
2023-10-01,1,Category E,140,140,261,152000,115.452,3.6904
2023-10-01,2,Category A,797,791,"1,028",106000,115.452,3.6904
2023-10-01,2,Category B,472,458,623,150001,115.452,3.6904
2023-10-01,2,Category C,114,112,186,84790,115.452,3.6904
2023-10-01,2,Category D,502,474,632,11201,115.452,3.6904
2023-10-01,2,Category E,138,127,228,158004,115.452,3.6904
2023-11-01,1,Category A,924,915,1165,95689,114.72,3.6592
2023-11-01,1,Category B,636,631,830,110001,114.72,3.6592
2023-11-01,1,Category C,190,186,281,78001,114.72,3.6592
2023-11-01,1,Category D,520,512,630,10889,114.72,3.6592
2023-11-01,1,Category E,141,136,227,125011,114.72,3.6592
2023-11-01,2,Category A,925,925,1291,85001,114.72,3.6592
2023-11-01,2,Category B,648,638,1228,135336,114.72,3.6592
2023-11-01,2,Category C,190,186,368,73889,114.72,3.6592
2023-11-01,2,Category D,545,518,702,10001,114.72,3.6592
2023-11-01,2,Category E,151,144,323,135002,114.72,3.6592
2023-12-01,1,Category A,928,923,"1,233",88020,115.152,3.6235
2023-12-01,1,Category B,638,638,933,130100,115.152,3.6235
2023-12-01,1,Category C,193,188,346,71001,115.152,3.6235
2023-12-01,1,Category D,529,527,731,9858,115.152,3.6235
2023-12-01,1,Category E,145,136,287,133388,115.152,3.6235
2023-12-01,2,Category A,919,915,"1,166",85000,115.152,3.6235
2023-12-01,2,Category B,643,619,847,110001,115.152,3.6235
2023-12-01,2,Category C,192,189,359,69423,115.152,3.6235
2023-12-01,2,Category D,546,545,646,9002,115.152,3.6235
2023-12-01,2,Category E,147,147,228,118388,115.152,3.6235
2024-01-01,1,Category A,924,920,"1,184",65010,115.403,3.4844
2024-01-01,1,Category B,633,628,850,85010,115.403,3.4844
2024-01-01,1,Category C,193,192,340,67599,115.403,3.4844
2024-01-01,1,Category D,523,514,666,9114,115.403,3.4844
2024-01-01,1,Category E,149,140,263,106388,115.403,3.4844
2024-01-01,2,Category A,923,921,"1,880",81589,115.403,3.4844
2024-01-01,2,Category B,657,657,"1,308",112000,115.403,3.4844
2024-01-01,2,Category C,191,187,394,68001,115.403,3.4844
2024-01-01,2,Category D,520,491,615,9309,115.403,3.4844
2024-01-01,2,Category E,140,136,267,109004,115.403,3.4844
2024-02-01,1,Category A,938,910,"1,931",79000,115.449,3.7464
2024-02-01,1,Category B,655,596,"1,163",102338,115.449,3.7464
2024-02-01,1,Category C,196,191,366,72001,115.449,3.7464
2024-02-01,1,Category D,530,528,717,9290,115.449,3.7464
2024-02-01,1,Category E,163,159,305,100101,115.449,3.7464
2024-02-01,2,Category A,937,936,"1,909",76801,115.449,3.7464
2024-02-01,2,Category B,649,642,"1,034",97000,115.449,3.7464
2024-02-01,2,Category C,199,192,374,73001,115.449,3.7464
2024-02-01,2,Category D,548,548,689,8911,115.449,3.7464
2024-02-01,2,Category E,158,156,271,94006,115.449,3.7464
2024-03-01,1,Category A,963,923,"1,866",83000,115.406,3.6851
2024-03-01,1,Category B,708,704,"1,073",96010,115.406,3.6851
2024-03-01,1,Category C,200,198,303,75599,115.406,3.6851
2024-03-01,1,Category D,520,518,646,9400,115.406,3.6851
2024-03-01,1,Category E,159,150,282,95010,115.406,3.6851
2024-03-01,2,Category A,936,935,"1,922",85489,115.406,3.6851
2024-03-01,2,Category B,656,615,"1,066",96011,115.406,3.6851
2024-03-01,2,Category C,202,202,313,70112,115.406,3.6851
2024-03-01,2,Category D,521,516,629,9689,115.406,3.6851
2024-03-01,2,Category E,157,157,256,95856,115.406,3.6851
2024-04-01,1,Category A,975,970,"1,922",89000,116.363,3.5066
2024-04-01,1,Category B,653,645,"1,208",101334,116.363,3.5066
2024-04-01,1,Category C,197,196,365,67501,116.363,3.5066
2024-04-01,1,Category D,520,510,610,10000,116.363,3.5066
2024-04-01,1,Category E,164,161,333,101002,116.363,3.5066
2024-04-01,2,Category A,936,916,"1,390",94010,116.363,3.5066
2024-04-01,2,Category B,690,690,"1,008",102001,116.363,3.5066
2024-04-01,2,Category C,195,193,332,68502,116.363,3.5066
2024-04-01,2,Category D,522,514,625,9990,116.363,3.5066
2024-04-01,2,Category E,155,151,269,103249,116.363,3.5066
2024-05-01,1,Category A,968,968,"1,632",93604,116.316,3.5222
2024-05-01,1,Category B,666,638,"1,237",105002,116.316,3.5222
2024-05-01,1,Category C,206,181,350,70001,116.316,3.5222
2024-05-01,1,Category D,528,528,630,9503,116.316,3.5222
2024-05-01,1,Category E,177,169,317,104689,116.316,3.5222
2024-05-01,2,Category A,983,980,"1,444",92700,116.316,3.5222
2024-05-01,2,Category B,658,641,"1,099",105689,116.316,3.5222
2024-05-01,2,Category C,207,198,382,72001,116.316,3.5222
2024-05-01,2,Category D,526,523,604,9311,116.316,3.5222
2024-05-01,2,Category E,178,176,295,105002,116.316,3.5222
2024-06-01,1,Category A,962,957,"1,467",88200,116.065,3.4325
2024-06-01,1,Category B,685,671,974,100607,116.065,3.4325
2024-06-01,1,Category C,230,222,334,70589,116.065,3.4325
2024-06-01,1,Category D,519,519,628,8989,116.065,3.4325
2024-06-01,1,Category E,183,182,319,101600,116.065,3.4325
2024-06-01,2,Category A,966,955,"1,403",90889,116.065,3.4325
2024-06-01,2,Category B,674,670,"1,046",102334,116.065,3.4325
2024-06-01,2,Category C,214,206,291,69900,116.065,3.4325
2024-06-01,2,Category D,520,519,620,9002,116.065,3.4325
2024-06-01,2,Category E,177,175,301,100000,116.065,3.4325
2024-07-01,1,Category A,967,932,"1,429",91001,116.328,3.4336
2024-07-01,1,Category B,671,671,896,100901,116.328,3.4336
2024-07-01,1,Category C,214,213,325,70001,116.328,3.4336
2024-07-01,1,Category D,517,517,571,8900,116.328,3.4336
2024-07-01,1,Category E,176,170,309,100889,116.328,3.4336
2024-07-01,2,Category A,973,972,"1,342",91899,116.328,3.4336
2024-07-01,2,Category B,661,639,891,100000,116.328,3.4336
2024-07-01,2,Category C,214,214,355,70601,116.328,3.4336
2024-07-01,2,Category D,518,512,591,9089,116.328,3.4336
2024-07-01,2,Category E,177,177,300,100341,116.328,3.4336
2024-08-01,1,Category A,1013,"1,007","1,570",94289,116.57,3.5355
2024-08-01,1,Category B,663,662,"1,150",106101,116.57,3.5355
2024-08-01,1,Category C,218,218,312,71100,116.57,3.5355
2024-08-01,1,Category D,517,513,599,9601,116.57,3.5355
2024-08-01,1,Category E,178,175,322,105239,116.57,3.5355
2024-08-01,2,Category A,978,966,"1,314",93900,116.57,3.5355
2024-08-01,2,Category B,686,686,985,105889,116.57,3.5355
2024-08-01,2,Category C,216,215,333,72400,116.57,3.5355
2024-08-01,2,Category D,523,522,614,9310,116.57,3.5355
2024-08-01,2,Category E,173,168,350,106001,116.57,3.5355
2024-09-01,1,Category A,983,966,"1,308",96490,116.864,3.8808
2024-09-01,1,Category B,665,657,924,106300,116.864,3.8808
2024-09-01,1,Category C,216,215,324,74001,116.864,3.8808
2024-09-01,1,Category D,522,520,622,9801,116.864,3.8808
2024-09-01,1,Category E,176,166,388,106901,116.864,3.8808
2024-09-01,2,Category A,990,909,"1,377",98524,116.864,3.8808
2024-09-01,2,Category B,663,656,879,110001,116.864,3.8808
2024-09-01,2,Category C,217,212,318,74000,116.864,3.8808
2024-09-01,2,Category D,520,516,636,9900,116.864,3.8808
2024-09-01,2,Category E,177,173,383,113104,116.864,3.8808
2024-10-01,1,Category A,994,986,"1,604",103799,117.058,3.1559
2024-10-01,1,Category B,671,652,"1,084",116002,117.058,3.1559
2024-10-01,1,Category C,218,216,321,75009,117.058,3.1559
2024-10-01,1,Category D,520,519,604,10001,117.058,3.1559
2024-10-01,1,Category E,182,171,346,116000,117.058,3.1559
2024-10-01,2,Category A,1058,"1,048","1,499",102900,117.058,3.1559
2024-10-01,2,Category B,670,669,975,113890,117.058,3.1559
2024-10-01,2,Category C,222,222,337,72939,117.058,3.1559
2024-10-01,2,Category D,522,515,626,9589,117.058,3.1559
2024-10-01,2,Category E,177,177,327,114700,117.058,3.1559
2024-11-01,1,Category A,1040,"1,035","1,338",99889,116.533,3.0839
2024-11-01,1,Category B,696,683,"1,039",108001,116.533,3.0839
2024-11-01,1,Category C,236,209,365,68340,116.533,3.0839
2024-11-01,1,Category D,520,520,598,9089,116.533,3.0839
2024-11-01,1,Category E,189,189,321,109000,116.533,3.0839
2024-11-01,2,Category A,1041,"1,038","1,320",89889,116.533,3.0839
2024-11-01,2,Category B,678,678,874,105081,116.533,3.0839
2024-11-01,2,Category C,235,214,378,69000,116.533,3.0839
2024-11-01,2,Category D,524,524,637,8669,116.533,3.0839
2024-11-01,2,Category E,179,176,298,107501,116.533,3.0839
2024-12-01,1,Category A,1037,"1,034","1,475",94000,116.937,2.1123
2024-12-01,1,Category B,689,689,866,103010,116.937,2.1123
2024-12-01,1,Category C,262,249,418,70289,116.937,2.1123
2024-12-01,1,Category D,517,516,570,7878,116.937,2.1123
2024-12-01,1,Category E,179,167,326,104001,116.937,2.1123
2024-12-01,2,Category A,1035,998,"1,506",96000,116.937,2.1123
2024-12-01,2,Category B,676,667,987,109000,116.937,2.1123
2024-12-01,2,Category C,255,255,400,69890,116.937,2.1123
2024-12-01,2,Category D,519,504,641,8381,116.937,2.1123
2024-12-01,2,Category E,182,170,330,108992,116.937,2.1123
2025-01-01,1,Category A,1034,"1,034","1,381",93699,,2.6325
2025-01-01,1,Category B,677,674,"1,266",121501,,2.6325
2025-01-01,1,Category C,248,246,364,67891,,2.6325
2025-01-01,1,Category D,520,513,595,9001,,2.6325
2025-01-01,1,Category E,191,190,415,123000,,2.6325
2025-01-01,2,Category A,1069,"1,058","1,484",93601,,2.6325
2025-01-01,2,Category B,686,686,"1,071",116625,,2.6325
2025-01-01,2,Category C,234,233,373,65476,,2.6325
2025-01-01,2,Category D,536,530,651,7721,,2.6325
2025-01-01,2,Category E,190,190,326,115112,,2.6325
2025-02-01,1,Category A,1138,"1,132","1,446",85000,,2.4846
2025-02-01,1,Category B,748,727,"1,007",111104,,2.4846
2025-02-01,1,Category C,260,256,394,62506,,2.4846
2025-02-01,1,Category D,524,523,718,8289,,2.4846
2025-02-01,1,Category E,199,195,369,110000,,2.4846
2025-02-01,2,Category A,1149,"1,149","2,290",92850,,2.4846
2025-02-01,2,Category B,744,741,"1,135",109598,,2.4846
2025-02-01,2,Category C,259,240,430,65189,,2.4846
2025-02-01,2,Category D,524,517,645,8791,,2.4846
2025-02-01,2,Category E,198,197,367,110002,,2.4846
2025-03-01,1,Category A,1144,"1,144","2,034",92730,,2.1392
2025-03-01,1,Category B,765,749,"1,208",113000,,2.1392
2025-03-01,1,Category C,262,253,413,67001,,2.1392
2025-03-01,1,Category D,519,519,624,9201,,2.1392
2025-03-01,1,Category E,202,200,403,112901,,2.1392
2025-03-01,2,Category A,1138,"1,137","1,951",94502,,2.1392
2025-03-01,2,Category B,747,747,"1,196",116890,,2.1392
2025-03-01,2,Category C,277,275,469,70089,,2.1392
2025-03-01,2,Category D,525,525,626,9511,,2.1392
2025-03-01,2,Category E,198,196,382,116991,,2.1392
2025-04-01,1,Category A,1138,"1,122","2,162",97724,,2.1673
2025-04-01,1,Category B,760,729,"1,200",117899,,2.1673
2025-04-01,1,Category C,267,267,382,68782,,2.1673
2025-04-01,1,Category D,517,515,603,9889,,2.1673
2025-04-01,1,Category E,200,195,390,117002,,2.1673
2025-04-01,2,Category A,1139,"1,124","2,121",99500,,2.1673
2025-04-01,2,Category B,744,744,"1,098",117003,,2.1673
2025-04-01,2,Category C,260,260,399,65001,,2.1673
2025-04-01,2,Category D,519,518,660,9309,,2.1673
2025-04-01,2,Category E,200,195,406,118001,,2.1673
2025-05-01,1,Category A,1267,"1,244","2,240",103009,,2.1001
2025-05-01,1,Category B,813,800,"1,210",119890,,2.1001
2025-05-01,1,Category C,271,266,386,62590,,2.1001
2025-05-01,1,Category D,536,532,676,8709,,2.1001
2025-05-01,1,Category E,207,206,384,118889,,2.1001
2025-05-01,2,Category A,1267,"1,265","1,915",102501,,2.1001
2025-05-01,2,Category B,782,779,"1,093",116988,,2.1001
2025-05-01,2,Category C,271,271,382,63189,,2.1001
2025-05-01,2,Category D,534,532,655,8707,,2.1001
2025-05-01,2,Category E,206,185,387,118010,,2.1001
2025-06-01,1,Category A,1275,"1,274","1,691",96999,,
2025-06-01,1,Category B,795,795,974,113000,,
2025-06-01,1,Category C,276,256,386,62000,,
2025-06-01,1,Category D,538,538,631,9000,,
2025-06-01,1,Category E,202,191,363,113900,,
2025-06-01,2,Category A,1254,"1,253","1,647",98124,,
2025-06-01,2,Category B,784,781,"1,163",116670,,
2025-06-01,2,Category C,271,270,393,65000,,
2025-06-01,2,Category D,535,528,605,8600,,
2025-06-01,2,Category E,223,214,399,116889,,
2025-07-01,1,Category A,1253,1250,1918,101102,,
2025-07-01,1,Category B,781,781,1199,119600,,
2025-07-01,1,Category C,291,275,432,66689,,
2025-07-01,1,Category D,533,533,629,9389,,
2025-07-01,1,Category E,212,207,384,118500,,
